MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
583;1.55;276.65;583;4.654;5.677;2.35
593;2.39;281.53;593;4.314;5.747;2.57
603;3.16;283.29;603;3.834;5.848;2.33
612.9;4.08;285.41;612.9;3.214;6.008;2.81
623;4.92;286.72;622.9;2.464;6.238;2.53
632.9;5.82;287.62;632.8;1.584;6.499;2.71
642.9;6.56;288.31;642.7;0.554;6.84;2.24
653;7.21;288.58;652.7;-0.595;7.22;1.93
663;7.77;288.65;662.7;-1.835;7.651;1.68
672.9;8.69;288.87;672.5;-3.185;8.082;2.78
683;9.52;288.85;682.4;-4.695;8.613;2.47
693;10.22;289.34;692.3;-6.324;9.194;2.13
703;11.07;289.07;702.1;-8.094;9.795;2.56
713;11.8;289.07;711.9;-9.963;10.426;2.19
722.9;12.67;288.61;721.6;-11.953;11.128;2.64
733;13.47;287.95;731.4;-14.123;11.829;2.43
743;14.53;287.49;741.1;-16.462;12.58;3.18
753;15.57;287.46;750.8;-18.972;13.352;3.11
763;16.72;287.4;760.4;-21.611;14.194;3.46
773;17.75;287.84;769.9;-24.441;15.105;3.12
783;18.69;288.01;779.4;-27.44;16.037;2.82
793;19.66;287.78;788.9;-30.559;17.009;2.91
803;20.57;288.08;798.2;-33.839;18.071;2.76
813;21.3;288.01;807.6;-37.198;19.253;2.18
823;22.09;287.73;816.9;-40.707;20.376;2.39
833;22.85;287.7;826.1;-44.377;21.498;2.28
843;23.67;287.43;835.3;-48.176;22.65;2.49
853;24.19;287.12;844.5;-52.065;23.873;1.6
862.9;24.59;286.95;853.5;-55.944;25.095;1.22
872.9;25.21;286.85;862.6;-59.944;26.268;1.87
883;25.91;286.63;871.6;-64.123;27.52;2.11
893;26.5;286.45;880.6;-68.362;28.783;1.78
902.9;27.07;286.07;889.5;-72.651;30.066;1.79
913;27.77;285.83;898.4;-77.08;31.368;2.12
923;28.41;285.52;907.2;-81.66;32.671;1.96
933;29.15;285.31;916;-86.309;33.914;2.25
943;29.83;285.16;924.7;-91.048;35.227;2.06
953;30.36;285.01;933.3;-95.927;36.56;1.61
963;30.97;284.6;941.9;-100.906;37.833;1.93
972.9;31.52;284.28;950.4;-105.925;39.137;1.73
982.9;32.23;284.27;958.9;-111.045;40.48;2.13
992.9;32.92;284.21;967.4;-116.294;41.703;2.07
1003;34.04;284.05;975.8;-121.683;43.066;3.35
1012.9;34.89;283.99;984;-127.142;44.47;2.57
1022.9;35.93;283.94;992.1;-132.751;45.773;3.12
1033;36.82;283.85;1000.2;-138.51;47.197;2.67
1043;37.5;283.75;1008.2;-144.389;48.731;2.04
1053;38.22;283.82;1016.1;-150.359;50.154;2.16
1062.9;39.31;283.78;1023.8;-156.438;51.658;3.29
1072.9;40.35;283.76;1031.5;-162.667;53.222;3.12
1083;41.42;283.72;1039.1;-169.036;54.766;3.2
1093;42.56;283.72;1046.5;-175.625;56.29;3.41
1103;43.31;283.72;1053.9;-182.214;57.964;2.25
1112.9;44.1;283.7;1061;-188.863;59.489;2.38
1123;45.14;283.72;1068.2;-195.812;61.073;3.1
1132.9;46.24;283.67;1075.1;-202.691;62.727;3.32
1142.9;47.3;283.32;1082;-209.81;64.492;3.27
1152.9;48.34;283.11;1088.7;-216.998;66.216;3.15
1162.9;49.45;282.75;1095.3;-224.297;68.051;3.43
1173;50.48;282.55;1101.7;-231.776;69.586;3.12
1183;51.54;282.39;1108;-239.345;71.29;3.21
1193;52.49;282.27;1114.2;-247.054;72.995;2.86
1202.9;53.47;282.25;1120.2;-254.813;74.65;2.96
1213;54.43;282.17;1126.1;-262.762;76.355;2.88
1223;55.44;282.08;1131.8;-270.751;77.86;3.04
1233;56.26;282.01;1137.5;-278.86;79.725;2.47
1242.9;57.07;281.93;1143;-286.989;81.36;2.44
1253;57.44;281.9;1148.4;-295.178;83.085;1.11
1262.9;57.71;281.98;1153.7;-303.447;84.771;0.84
1272.9;58.1;282.06;1159;-311.746;86.596;1.19
1282.9;58.55;282.16;1164.3;-320.045;88.381;1.38
1292.9;58.89;282.25;1169.5;-328.393;90.186;1.04
1302.9;59.08;282.29;1174.6;-336.712;92.001;0.58
1312.9;59.24;282.4;1179.7;-345.091;93.937;0.56
1322.9;58.95;282.46;1184.9;-353.44;95.712;0.89
1332.9;58.46;282.45;1190.1;-361.819;97.527;1.47
1342.9;58.05;282.34;1195.3;-370.078;99.292;1.26
1353;57.74;282.42;1200.7;-378.397;101.118;0.95
1363;57.37;282.54;1206;-386.605;102.993;1.15
1372.9;56.77;282.59;1211.5;-394.774;104.848;1.81
1382.9;56.41;282.7;1217;-402.943;106.533;1.11
1392.9;55.92;282.83;1222.5;-411.042;108.378;1.51
1402.9;55.83;282.94;1228.1;-419.141;110.363;0.38
1412.9;56.29;283.03;1233.7;-427.14;112.068;1.4
1422.9;57.06;283.03;1239.3;-435.368;114.113;2.3
1433;57.71;283.09;1244.6;-443.517;116.078;1.95
1442.9;57.8;283.07;1250;-451.656;117.964;0.28
1453;58.17;283.11;1255.3;-459.965;119.839;1.11
1463;58.84;283.11;1260.5;-468.304;121.644;2.01
1473;59.11;283.07;1265.7;-476.672;123.689;0.82
1482.9;58.79;283.21;1270.8;-484.921;125.704;1.03
1485;58.65;283.27;1271.9;-486.647;126.098;2.21
1492.9;58.1;283.51;1276;-493.22;127.6;2.21
1532.7;60.3;284.14;1296.4;-526.397;135.764;1.71
1561.5;60.5;283.04;1310.6;-550.738;141.646;1.02
1590;60.1;283.84;1324.7;-574.816;147.398;0.84
1617.9;59.5;283.94;1338.8;-598.224;153.185;0.65
1648.3;59.9;284.84;1354.1;-623.648;159.706;0.86
1675.9;59.7;282.34;1368;-646.831;165.309;2.36
1705.4;58.3;281.74;1383.2;-671.561;170.583;1.52
1732.3;58.5;284.24;1397.3;-693.884;175.731;2.39
1762.3;58.5;282.54;1413;-718.766;181.653;1.45
1791.6;58.5;284.04;1428.3;-743.079;187.394;1.31
1821.2;58.6;282.64;1443.7;-767.649;193.218;1.21
1850.3;58.3;282.14;1459;-791.87;198.537;0.54
1877.9;58.1;283.04;1473.5;-814.763;203.648;0.86
1906.5;57.5;282.94;1488.7;-838.345;209.087;0.64
1935.1;57.7;283.74;1504.1;-861.841;214.657;0.74
1964.3;57.5;282.74;1519.7;-885.84;220.302;0.89
1993.6;57.6;282.84;1535.4;-909.952;225.774;0.13
2020.6;57.5;284.04;1549.9;-932.112;231.068;1.13
2050.7;57.4;283.24;1566.1;-956.769;237.049;0.68
2079.4;57.6;283.44;1581.5;-980.321;242.632;0.27
2108.9;57.3;285.04;1597.4;-1004.423;248.747;1.41
2137.7;58;283.84;1612.8;-1027.984;254.811;1.28
2167;58.8;284.34;1628.2;-1052.189;260.885;0.93
2196.1;58.7;283.94;1643.3;-1076.314;266.961;0.37
2225;58.9;282.44;1658.2;-1100.381;272.599;1.35
2253;58.8;284.34;1672.7;-1123.691;278.146;1.75
2281.7;58.8;284.24;1687.6;-1147.481;284.204;0.09
2309.6;58.8;283.54;1702;-1170.648;289.931;0.64
2338.6;58.9;284.14;1717;-1194.746;295.866;0.54
2367;58.9;283.54;1731.7;-1218.358;301.682;0.54
2395.7;58.9;283.64;1746.5;-1242.246;307.454;0.09
2424.6;58.9;283.04;1761.5;-1266.324;313.162;0.53
2453.9;58.8;284.24;1776.6;-1290.692;319.074;1.06
2484.4;58.8;283.34;1792.4;-1316.029;325.29;0.76
2513.9;58.8;284.14;1807.7;-1340.54;331.282;0.7
2541;58.9;284.34;1821.7;-1363.021;336.985;0.22
2569;59;284.54;1836.2;-1386.251;342.966;0.21
2597;58.9;284.14;1850.6;-1409.492;348.905;0.38
2626.9;58.9;283.44;1866.1;-1434.357;355.006;0.6
2655.8;58.9;284.14;1881;-1458.39;360.903;0.62
2684.6;58;282.34;1896;-1482.279;366.524;1.85
2713.6;57.4;282.84;1911.5;-1506.202;371.865;0.76
2743.1;57.6;282.44;1927.4;-1530.479;377.307;0.4
2771.4;57.6;282.44;1942.6;-1553.813;382.453;0
2800.6;57.7;280.84;1958.2;-1577.973;387.428;1.39
2829.5;57.8;282.94;1973.6;-1601.888;392.462;1.85
2857.9;57.8;282.94;1988.7;-1625.31;397.842;0
2886.7;57.9;282.84;2004.1;-1649.08;403.279;0.14
2914.8;58;282.34;2019;-1672.325;408.469;0.46
2943.4;57.9;280.94;2034.2;-1696.067;413.358;1.25
2971.9;57.7;281.44;2049.3;-1719.725;418.037;0.49
2999.2;57.8;282.54;2063.9;-1742.309;422.831;1.03
3029.6;58.2;281.84;2080;-1767.509;428.273;0.71
3058.8;57.8;283.44;2095.5;-1791.671;433.689;1.45
3087.6;58;282.44;2110.8;-1815.448;439.15;0.91
3114.8;58.2;282.54;2125.2;-1837.994;444.143;0.24
3144;58.3;284.84;2140.5;-1862.117;450.017;2.01
3174.2;58;285.54;2156.5;-1886.874;456.737;0.66
3204.5;57.5;284.34;2172.6;-1911.633;463.342;1.12
3233;57.2;284.34;2188;-1934.882;469.284;0.32
3261.8;57.5;285.34;2203.6;-1958.322;475.493;0.93
3353;57.5;285.34;2252.6;-2032.5;495.836;0
