MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
583;1.55;276.65;583;4.654;5.677;2.35
593;2.39;281.53;593;4.314;5.747;2.57
603;3.16;283.29;603;3.834;5.848;2.33
612.9;4.08;285.41;612.9;3.214;6.008;2.81
623;4.92;286.72;622.9;2.464;6.238;2.53
632.9;5.82;287.62;632.8;1.584;6.499;2.71
642.9;6.56;288.31;642.7;0.554;6.84;2.24
653;7.21;288.58;652.7;-0.595;7.22;1.93
663;7.77;288.65;662.7;-1.835;7.651;1.68
672.9;8.69;288.87;672.5;-3.185;8.082;2.78
683;9.52;288.85;682.4;-4.695;8.613;2.47
693;10.22;289.34;692.3;-6.324;9.194;2.13
703;11.07;289.07;702.1;-8.094;9.795;2.56
713;11.8;289.07;711.9;-9.963;10.426;2.19
722.9;12.67;288.61;721.6;-11.953;11.128;2.64
733;13.47;287.95;731.4;-14.123;11.829;2.43
743;14.53;287.49;741.1;-16.462;12.58;3.18
753;15.57;287.46;750.8;-18.972;13.352;3.11
763;16.72;287.4;760.4;-21.611;14.194;3.46
773;17.75;287.84;769.9;-24.441;15.105;3.12
783;18.69;288.01;779.4;-27.44;16.037;2.82
793;19.66;287.78;788.9;-30.559;17.009;2.91
803;20.57;288.08;798.2;-33.839;18.071;2.76
813;21.3;288.01;807.6;-37.198;19.253;2.18
823;22.09;287.73;816.9;-40.707;20.376;2.39
833;22.85;287.7;826.1;-44.377;21.498;2.28
843;23.67;287.43;835.3;-48.176;22.65;2.49
853;24.19;287.12;844.5;-52.065;23.873;1.6
862.9;24.59;286.95;853.5;-55.944;25.095;1.22
872.9;25.21;286.85;862.6;-59.944;26.268;1.87
883;25.91;286.63;871.6;-64.123;27.52;2.11
893;26.5;286.45;880.6;-68.362;28.783;1.78
902.9;27.07;286.07;889.5;-72.651;30.066;1.79
913;27.77;285.83;898.4;-77.08;31.368;2.12
923;28.41;285.52;907.2;-81.66;32.671;1.96
933;29.15;285.31;916;-86.309;33.914;2.25
943;29.83;285.16;924.7;-91.048;35.227;2.06
953;30.36;285.01;933.3;-95.927;36.56;1.61
963;30.97;284.6;941.9;-100.906;37.833;1.93
972.9;31.52;284.28;950.4;-105.925;39.137;1.73
982.9;32.23;284.27;958.9;-111.045;40.48;2.13
992.9;32.92;284.21;967.4;-116.294;41.703;2.07
1003;34.04;284.05;975.8;-121.683;43.066;3.35
1012.9;34.89;283.99;984;-127.142;44.47;2.57
1022.9;35.93;283.94;992.1;-132.751;45.773;3.12
1033;36.82;283.85;1000.2;-138.51;47.197;2.67
1043;37.5;283.75;1008.2;-144.389;48.731;2.04
1053;38.22;283.82;1016.1;-150.359;50.154;2.16
1062.9;39.31;283.78;1023.8;-156.438;51.658;3.29
1072.9;40.35;283.76;1031.5;-162.667;53.222;3.12
1083;41.42;283.72;1039.1;-169.036;54.766;3.2
1093;42.56;283.72;1046.5;-175.625;56.29;3.41
1103;43.31;283.72;1053.9;-182.214;57.964;2.25
1112.9;44.1;283.7;1061;-188.863;59.489;2.38
1123;45.14;283.72;1068.2;-195.812;61.073;3.1
1132.9;46.24;283.67;1075.1;-202.691;62.727;3.32
1142.9;47.3;283.32;1082;-209.81;64.492;3.27
1152.9;48.34;283.11;1088.7;-216.998;66.216;3.15
1162.9;49.45;282.75;1095.3;-224.297;68.051;3.43
1173;50.48;282.55;1101.7;-231.776;69.586;3.12
1183;51.54;282.39;1108;-239.345;71.29;3.21
1193;52.49;282.27;1114.2;-247.054;72.995;2.86
1202.9;53.47;282.25;1120.2;-254.813;74.65;2.96
1213;54.43;282.17;1126.1;-262.762;76.355;2.88
1223;55.44;282.08;1131.8;-270.751;77.86;3.04
1233;56.26;282.01;1137.5;-278.86;79.725;2.47
1242.9;57.07;281.93;1143;-286.989;81.36;2.44
1253;57.44;281.9;1148.4;-295.178;83.085;1.11
1262.9;57.71;281.98;1153.7;-303.447;84.771;0.84
1272.9;58.1;282.06;1159;-311.746;86.596;1.19
1282.9;58.55;282.16;1164.3;-320.045;88.381;1.38
1292.9;58.89;282.25;1169.5;-328.393;90.186;1.04
1302.9;59.08;282.29;1174.6;-336.712;92.001;0.58
1312.9;59.24;282.4;1179.7;-345.091;93.937;0.56
1322.9;58.95;282.46;1184.9;-353.44;95.712;0.89
1332.9;58.46;282.45;1190.1;-361.819;97.527;1.47
1342.9;58.05;282.34;1195.3;-370.078;99.292;1.26
1353;57.74;282.42;1200.7;-378.397;101.118;0.95
1363;57.37;282.54;1206;-386.605;102.993;1.15
1372.9;56.77;282.59;1211.5;-394.774;104.848;1.81
1382.9;56.41;282.7;1217;-402.943;106.533;1.11
1392.9;55.92;282.83;1222.5;-411.042;108.378;1.51
1402.9;55.83;282.94;1228.1;-419.141;110.363;0.38
1412.9;56.29;283.03;1233.7;-427.14;112.068;1.4
1422.9;57.06;283.03;1239.3;-435.368;114.113;2.3
1433;57.71;283.09;1244.6;-443.517;116.078;1.95
1442.9;57.8;283.07;1250;-451.656;117.964;0.28
1453;58.17;283.11;1255.3;-459.965;119.839;1.11
1463;58.84;283.11;1260.5;-468.304;121.644;2.01
1473;59.11;283.07;1265.7;-476.672;123.689;0.82
1482.9;58.79;283.21;1270.8;-484.921;125.704;1.03
1485;58.65;283.27;1271.9;-486.647;126.098;2.21
1492.9;58.1;283.51;1276;-493.22;127.6;2.21
1498;58.24;283.86;1278.7;-497.419;128.622;1.94
1502.9;58.37;284.2;1281.3;-501.479;129.595;1.93
1513;57.92;285.47;1286.6;-509.757;131.73;3.5
1522.9;58.21;286.21;1291.9;-517.816;134.145;2.08
1532.9;58.54;286.95;1297.1;-526.014;136.59;2.13
1543;58.94;287.9;1302.3;-534.133;139.115;2.71
1552.9;59.25;289.06;1307.4;-542.321;141.871;3.13
1563;59.51;290.41;1312.5;-550.429;144.716;3.57
1573;59.89;291.68;1317.6;-558.467;147.791;3.48
1582.9;60.35;292.75;1322.5;-566.455;151.066;3.12
1592.9;60.53;293.63;1327.5;-574.013;154.34;2.36
1602.9;60.6;293.63;1332.4;-582.451;158.036;0.21
1612.9;61.11;296.22;1337.2;-590.228;162.061;6.96
1622.9;61.24;296.77;1342;-598.046;165.966;1.5
1632.9;61.29;296.9;1346.8;-605.783;169.98;0.37
1642.9;61.37;296.59;1351.6;-613.701;173.925;0.85
1652.9;61;295.86;1356.4;-621.509;177.75;2.22
1662.9;60.08;294.6;1361.4;-629.406;181.495;4.29
1672.9;59.62;293.74;1366.4;-637.284;185.05;2.63
1682.9;59.45;292.99;1371.4;-645.152;188.475;2.01
1692.9;59.31;292.5;1376.5;-653.04;191.75;1.33
1702.9;59.66;291.76;1381.6;-660.988;195.025;2.18
1712.9;59.8;290.92;1386.6;-668.976;198.18;2.22
1722.9;59.87;290.21;1391.7;-676.974;201.245;1.85
1732.9;59.76;289.52;1396.7;-685.232;204.29;1.82
1742.9;59.47;288.63;1401.8;-693.31;207.205;2.46
1752.9;59.4;288.13;1406.8;-701.488;210.06;1.31
1762.9;59.17;287.2;1411.9;-709.787;212.686;2.49
1773;58.98;286.54;1417.1;-718.055;215.111;1.79
1782.9;59.09;285.95;1422.2;-726.264;217.526;1.55
1792.9;59.2;285.1;1427.4;-734.572;219.861;2.22
1802.9;58.91;284.28;1432.5;-742.911;222.127;2.28
1812.9;59;283.77;1437.7;-751.259;224.232;1.34
1822.9;58.85;283.01;1442.8;-759.698;226.047;2
1832.9;58.73;282.41;1448;-767.767;227.882;1.58
1843;58.67;282.18;1453.2;-776.436;229.768;0.61
1852.9;58.72;282.03;1458.4;-784.795;231.603;0.41
1862.9;58.7;281.97;1463.6;-793.084;233.348;0.17
1872.9;58.68;282.07;1468.8;-801.513;235.073;0.26
1883;58.74;281.92;1474;-809.811;236.879;0.42
1893;58.64;281.87;1479.2;-818.22;238.664;0.33
1902.9;58.54;281.85;1484.4;-826.649;240.369;0.31
1913;58.68;281.82;1489.6;-834.958;242.144;0.43
1922.9;58.88;281.72;1494.7;-843.407;243.88;0.65
1932.9;58.84;281.63;1499.9;-851.726;245.595;0.26
1942.9;58.75;281.66;1505.1;-860.225;247.29;0.28
1953;58.64;281.6;1510.3;-868.574;248.955;0.36
1963;58.67;281.42;1515.5;-876.813;250.701;0.47
1972.9;58.63;281.41;1520.7;-885.292;252.296;0.12
1982.9;58.82;281.52;1525.9;-893.651;253.941;0.64
1992.9;58.75;281.38;1531.1;-902.1;255.736;0.42
2002.9;58.75;281.42;1536.3;-910.369;257.442;0.1
2012.9;58.81;282.46;1541.5;-918.857;259.237;2.68
2022.9;58.81;282.64;1546.7;-926.716;260.982;0.46
2033;58.84;282.67;1551.9;-935.195;262.797;0.12
2042.9;58.78;282.58;1557.1;-943.764;264.573;0.29
2052.9;58.73;282.54;1562.2;-952.103;266.548;0.18
2062.9;58.74;282.45;1567.4;-960.442;268.333;0.23
2072.9;58.86;282.46;1572.6;-968.691;270.148;0.36
2082.9;58.78;282.36;1577.8;-977.049;272.024;0.35
2093;58.78;282.3;1583;-985.388;273.869;0.15
2102.9;58.78;282.25;1588.2;-993.717;275.614;0.13
2112.9;58.79;282.23;1593.3;-1002.016;277.449;0.06
2122.9;58.92;282.24;1598.5;-1010.465;279.255;0.39
2132.9;58.9;282.06;1603.7;-1018.754;281.15;0.47
2142.9;58.94;282.07;1608.9;-1027.003;282.895;0.12
2152.9;58.88;282.01;1614;-1035.521;284.71;0.24
2162.9;58.92;281.96;1619.2;-1043.77;286.475;0.18
2172.9;58.91;281.94;1624.3;-1052.099;288.251;0.06
2183;58.99;281.89;1629.5;-1060.478;290.076;0.27
2192.9;58.95;281.8;1634.6;-1068.837;291.891;0.26
2202.9;58.96;281.78;1639.8;-1077.236;293.656;0.06
2212.9;59.09;281.8;1644.9;-1085.615;295.432;0.39
2222.9;59.06;281.63;1650.1;-1094.044;297.227;0.45
2232.9;59.18;281.6;1655.2;-1102.383;298.882;0.37
2243;59.12;281.76;1660.3;-1110.831;300.638;0.45
2252.9;58.82;281.93;1665.5;-1119.2;302.503;1
2262.9;58.67;282.08;1670.7;-1127.539;304.258;0.59
2272.9;58.66;282.09;1675.9;-1135.938;306.093;0.04
2282.9;58.74;282.01;1681.1;-1144.347;307.919;0.32
2292.9;58.83;281.9;1686.2;-1152.746;309.654;0.39
2302.9;58.7;281.86;1691.4;-1161.135;311.379;0.4
2312.9;58.87;281.84;1696.6;-1169.514;313.164;0.51
2323;58.94;281.76;1701.7;-1178.022;314.99;0.29
2332.9;58.85;281.7;1706.9;-1186.351;316.715;0.31
2342.9;58.9;281.61;1712.1;-1194.7;318.46;0.28
2352.9;58.85;281.5;1717.3;-1203.199;320.056;0.32
2362.9;58.91;281.53;1722.4;-1211.558;321.771;0.2
2372.9;58.85;281.33;1727.6;-1219.977;323.616;0.55
2382.9;58.88;281.29;1732.8;-1228.376;325.261;0.14
2392.9;58.74;281.4;1737.9;-1236.845;326.987;0.51
2402.9;58.36;281.84;1743.1;-1245.184;328.642;1.61
2412.9;58.18;282.04;1748.4;-1253.553;330.357;0.74
2422.9;58.21;282.12;1753.7;-1261.822;332.162;0.22
2432.9;58.15;282.05;1759;-1270.171;333.978;0.25
2443;58.02;282;1764.3;-1278.529;335.793;0.41
2452.9;58.05;281.93;1769.5;-1286.908;337.518;0.2
2462.9;58.03;281.89;1774.8;-1295.127;339.243;0.12
2472.9;57.96;281.84;1780.1;-1303.506;340.939;0.25
2482.9;57.98;281.76;1785.4;-1311.765;342.704;0.21
2492.9;58.21;281.6;1790.7;-1320.054;344.459;0.8
2502.9;58.2;281.61;1796;-1328.483;346.084;0.04
2513;58.32;281.87;1801.3;-1336.842;347.779;0.75
2522.9;58.23;282.46;1806.5;-1345.071;349.605;1.54
2532.9;58.25;282.48;1811.8;-1353.53;351.51;0.08
2542.9;57.98;282.63;1817.1;-1361.798;353.275;0.9
2552.9;58.05;282.47;1822.4;-1369.727;355.03;0.46
2562.9;58.07;282.52;1827.6;-1378.336;356.825;0.14
2572.9;57.72;282.88;1833;-1386.515;358.561;1.4
2582.9;57.81;283.21;1838.3;-1394.714;360.546;0.88
2592.9;57.6;283.67;1843.6;-1403.003;362.511;1.33
2602.9;57.65;283.9;1849;-1410.981;364.586;0.6
2612.9;57.53;283.87;1854.4;-1419.3;366.551;0.37
2622.9;57.38;283.7;1859.7;-1427.469;368.526;0.62
2633;57.71;283.84;1865.1;-1435.598;370.521;1.05
2642.9;58.26;283.98;1870.4;-1443.886;372.577;1.7
2652.9;58.66;283.6;1875.6;-1452.315;374.632;1.54
2662.9;57.94;283.56;1880.9;-1460.514;376.537;2.16
2672.9;57.7;283.72;1886.2;-1468.713;378.642;0.83
2683;57.74;283.6;1891.6;-1476.881;380.667;0.33
2692.9;57.92;283.67;1896.9;-1485.04;382.652;0.57
2702.9;57.66;283.7;1902.2;-1493.249;384.638;0.78
2712.9;57.75;283.74;1907.6;-1501.567;386.673;0.29
2722.9;57.65;283.7;1912.9;-1509.696;388.558;0.32
2732.9;57.27;283.79;1918.3;-1517.885;390.643;1.16
2742.9;57.13;284.29;1923.7;-1525.964;392.658;1.33
2752.9;56.88;283.88;1929.1;-1534.032;394.853;1.28
2762.9;57.34;283.69;1934.6;-1542.151;396.818;1.46
2772.9;57.88;283.72;1940;-1550.34;398.754;1.62
2782.9;58.03;283.67;1945.3;-1558.609;400.819;0.47
2792.9;58.42;283.81;1950.5;-1566.867;402.804;1.22
2802.9;58.66;283.8;1955.7;-1575.086;405.029;0.72
2812.9;58.38;283.47;1960.9;-1583.295;406.924;1.19
2822.9;57.98;283.71;1966.2;-1591.523;409.069;1.35
2832.9;57.69;283.72;1971.5;-1599.732;410.995;0.87
2842.9;57.72;283.48;1976.9;-1607.921;412.91;0.61
2853;57.93;283.46;1982.2;-1616.12;414.895;0.63
2862.9;58.62;283.38;1987.5;-1624.299;416.91;2.09
2872.9;58.29;283.26;1992.7;-1632.637;418.915;1.04
2882.9;58.32;283.4;1998;-1640.926;420.89;0.37
2892.9;58.07;283.29;2003.2;-1649.215;422.856;0.8
2902.9;57.18;283.25;2008.6;-1657.364;424.751;2.68
2913;57.47;282.95;2014;-1665.572;426.716;1.15
2922.9;57.8;282.96;2019.3;-1673.831;428.571;0.99
2932.9;57.39;283.66;2024.7;-1682.06;430.526;2.15
2942.9;57.69;284.2;2030.1;-1690.159;432.591;1.64
2952.9;57.7;284.32;2035.4;-1698.447;434.657;0.31
2962.9;58.47;284.43;2040.7;-1706.556;436.882;2.32
2973;58.56;284.58;2045.9;-1714.795;438.997;0.47
2982.9;59.31;284.13;2051.1;-1723.213;440.992;2.53
2992.9;59.8;283.87;2056.2;-1731.642;443.197;1.62
3002.9;59.91;283.92;2061.2;-1739.921;445.343;0.36
3012.9;60.88;283.62;2066.2;-1748.289;447.508;3.01
3022.9;60.67;283.53;2071;-1756.768;449.473;0.67
3032.9;60.05;283.5;2075.9;-1765.297;451.638;1.86
3042.9;59.51;283.62;2081;-1773.695;453.684;1.65
3052.9;58.33;283.86;2086.1;-1782.044;455.789;3.6
3062.9;57.59;283.91;2091.5;-1790.263;457.754;2.22
3072.9;56.99;284.03;2096.8;-1798.592;459.909;1.83
3082.9;56.14;283.75;2102.3;-1806.68;461.904;2.64
3092.9;55.52;283.53;2108;-1814.829;463.86;1.93
3102.9;55.73;283.04;2113.6;-1822.848;465.715;1.37
3112.9;55.86;282.97;2119.3;-1831.177;467.59;0.43
3122.9;55.82;282.5;2124.9;-1839.096;469.385;1.17
3132.9;55.35;281.63;2130.6;-1847.265;471.1;2.57
3142.9;55.24;281.34;2136.3;-1855.204;472.745;0.79
3152.9;55.14;280.94;2142;-1863.383;474.32;1.03
3162.9;54.86;280.81;2147.7;-1871.372;475.865;0.9
3172.9;55.03;280.63;2153.5;-1879.411;477.42;0.67
3182.9;54.92;280.63;2159.2;-1887.42;478.895;0.33
3192.9;54.22;280.63;2165;-1895.599;480.38;2.1
3202.9;53.85;280.33;2170.9;-1903.538;481.885;1.33
3212.9;53.88;280.69;2176.8;-1911.547;483.24;0.88
3222.9;54.08;280.33;2182.7;-1919.466;484.705;1.06
3232.9;53.56;280.21;2188.6;-1927.395;486.1;1.59
3242.9;53.54;279.93;2194.6;-1935.364;487.445;0.68
3252.9;53.38;280;2200.5;-1943.303;488.78;0.51
3262.9;52.81;279.49;2206.5;-1951.073;490.055;2.1
3272.9;52.44;279.63;2212.6;-1958.952;491.41;1.16
3282.9;52.47;279.6;2218.7;-1966.781;492.705;0.11
3292.9;52.8;279.08;2224.8;-1974.55;493.91;1.59
3302.9;52.96;278.53;2230.8;-1982.329;495.125;1.4
3312.9;53.22;278.49;2236.8;-1990.199;496.23;0.79
3322.9;53.04;278.4;2242.8;-1997.978;497.375;0.58
3332.9;52.91;278.39;2248.8;-2005.727;498.599;0.39
3342.9;52.79;278.32;2254.9;-2013.577;499.694;0.4
3352.9;52.71;278.28;2260.9;-2021.426;500.899;0.26
3362.9;52.7;278.36;2267;-2029.245;502.154;0.19
3372.9;52.41;278.25;2273;-2036.914;503.299;0.91
3382.9;52.43;278.27;2279.1;-2044.734;504.424;0.08
3392.9;52.45;278.4;2285.3;-2052.653;505.749;0.31
3402.9;52.09;278.2;2291.4;-2060.352;506.854;1.18
3412.9;52;278.19;2297.5;-2068.331;507.989;0.27
3422.9;51.85;278.33;2303.7;-2076.161;509.154;0.56
3432.9;51.72;278.16;2309.9;-2083.94;510.429;0.56
3442.9;51.55;278.25;2316.1;-2091.789;511.573;0.55
3452.9;51.57;278.16;2322.3;-2099.518;512.708;0.22
3462.9;51.4;278.08;2328.6;-2107.468;513.843;0.54
3472.9;51.46;278.12;2334.8;-2115.217;514.858;0.2
3482.9;51.32;278.06;2341;-2123.036;516.063;0.44
3492.9;51.29;278.05;2347.3;-2130.856;517.068;0.09
3502.9;51.16;278.04;2353.6;-2138.525;518.133;0.39
3505.9;51.06;278.02;2355.4;-2141.005;518.404;1.04
3533;50.78;278.84;2372.5;-2161.853;521.492;0.77
3563;50.37;279.11;2391.5;-2184.743;525.106;0.46
3569;50.6;278.9;2395.3;-2189.35;525.8;1.41
3593;51.52;278.05;2410.4;-2207.778;528.578;1.41
3623;54.24;278.79;2428.5;-2231.439;532.081;2.78
3653;55.9;278.3;2445.7;-2255.761;535.733;1.71
3683;54.7;276.06;2462.8;-2280.228;538.817;2.2
3713;55.06;274.01;2480.1;-2304.67;540.968;1.71
3743;52.78;272;2497.7;-2328.879;542.243;2.8
3773;51.08;271.24;2516.2;-2352.486;542.911;1.8
3803;50.29;270.39;2535.2;-2375.693;543.24;1.03
3833;49.61;269.39;2554.5;-2398.657;543.196;1.02
3863;49.85;268.77;2573.9;-2421.544;542.826;0.53
3893;50.22;269.12;2593.2;-2444.533;542.401;0.46
3923;50.16;269.21;2612.4;-2467.576;542.064;0.09
3953;50.16;268.79;2631.6;-2490.607;541.66;0.32
3983;49.78;269.07;2650.9;-2513.574;541.23;0.44
4013;49.05;269.2;2670.4;-2536.355;540.884;0.74
4043;48.12;269.22;2690.3;-2558.85;540.572;0.93
4073;47.66;269.52;2710.4;-2581.105;540.326;0.51
4103;46.99;268.87;2730.7;-2603.159;540.015;0.82
4133;45.9;269.18;2751.4;-2624.896;539.643;1.11
4163;44.61;269.02;2772.5;-2646.201;539.307;1.29
4193;43.35;268.66;2794.1;-2667.028;538.885;1.28
4223;42.41;268.24;2816.1;-2687.434;538.332;0.98
4253;41.38;268.52;2838.4;-2707.459;537.763;1.05
4283;40.41;268.09;2861.1;-2727.09;537.182;1.01
4313;39.96;267.71;2884;-2746.435;536.471;0.51
4343;39.61;267.25;2907.1;-2765.613;535.626;0.46
4373;39.69;267.34;2930.2;-2784.735;534.722;0.1
4403;39.95;267.07;2953.2;-2803.923;533.783;0.31
4433;40.31;266.41;2976.2;-2823.227;532.682;0.56
4463;40.58;265.8;2999;-2842.643;531.358;0.48
4493;40.79;265.56;3021.7;-2862.145;529.884;0.26
4523;41.05;265.77;3044.4;-2881.738;528.397;0.29
4543;41.3;264.76;3059.5;-2894.86;527.309;1.07
4643;41.3;264.76;3134.6;-2960.584;521.276;0
